Cidade,Estado,População total estimada do município,Taxa de homicídios,Soluções em monitoramento para a segurança pública,Políticas públicas e ações para segurança pública,Urbanização vias públicas,Soluções para telegestão da iluminação pública,Taxa de analfabetismo,Geração de trabalho e renda no município,Índice de desenvolvimento humano do município (IDH-M),Pesquisas de satisfação/ Monitoramento da percepção de qualidade,Score_Seguranca
Primavera do Leste,MT,62019,61.68,1.0,3,98.59,0.0,4.69,0,0.752,4.0,58.10618082937867
Monte Alegre,PA,58032,7.09,1.0,6,31.86,0.0,14.1,0,0.589,4.0,58.05256245507353
Canindé,CE,76997,29.77,1.0,3,72.42,0.0,23.6,3,0.612,4.0,57.981679975121324
Jacundá,PA,59155,29.94,1.0,6,20.04,0.0,15.95,4,0.622,4.0,57.9763507164295
Palmares,PE,63250,65.53,1.0,6,66.52,0.0,20.16,5,0.622,4.0,57.9751464146811
Alta Floresta,MT,51782,49.92,1.0,3,43.58,0.0,8.44,5,0.714,4.0,57.96107069941569
São Bento do Una,PE,59504,48.07,1.0,4,78.29,0.0,29.0,5,0.593,4.0,57.95206212100271
Cametá,PA,137890,20.38,1.0,3,32.61,0.0,10.42,5,0.577,4.0,57.942450201246416
Serra Talhada,PE,86350,41.19,1.0,3,63.75,0.0,19.93,4,0.661,4.0,57.8913190745303
Santana,AP,121364,51.82,1.0,3,70.85,0.0,9.36,3,0.692,4.0,57.87687933220229
Bragança,PA,127686,30.92,1.0,3,46.73,0.0,15.33,5,0.6,4.0,57.803449047442804
Fazenda Rio Grande,PR,100209,58.68,1.0,3,48.05,0.0,4.33,5,0.72,4.0,57.69307181505135
Lago da Pedra,MA,50266,32.36,1.0,3,84.92,0.0,29.78,3,0.589,4.0,57.68870443583745
Santa Cruz do Capibaribe,PE,107937,54.02,1.0,6,45.43,0.0,15.09,4,0.648,4.0,57.66553850405966
Lauro de Freitas,BA,198440,93.51,1.0,4,79.23,0.0,4.48,5,0.754,4.0,57.55417662758508
Penedo,AL,63683,42.0,1.0,3,61.62,0.0,23.13,5,0.63,4.0,57.50736245544333
Nova Venécia,ES,50110,33.57,1.0,3,67.86,0.0,11.78,0,0.712,4.0,57.48054879162875
Esmeraldas,MG,70552,38.16,1.0,3,30.48,0.0,8.22,5,0.671,4.0,57.42796452046551
Juazeiro,BA,216707,46.31,1.0,6,61.8,0.0,12.81,0,0.677,4.0,57.393001852147876
São Miguel dos Campos,AL,61251,45.75,1.0,3,62.6,0.0,19.85,5,0.623,4.0,57.24621566926757
Barra,BA,53578,38.49,1.0,5,48.01,0.0,22.85,5,0.557,4.0,57.24464507096377
Paço do Lumiar,MA,122197,47.53,1.0,6,43.59,0.0,5.19,0,0.724,4.0,57.22920944493289
Capanema,PA,69027,44.94,1.0,3,56.79,0.0,14.01,4,0.655,4.0,57.125110694562274
Jaru,RO,51775,43.01,1.0,4,31.87,0.0,10.56,4,0.689,4.0,57.11006715727532
